severe,hour,is_night,rural,day_type,speed_limit,light_conditions,weather_conditions,road_surface_conditions,road_type,urban_or_rural_area,police_force,longitude,latitude,first_road_class,hour_factor,speed_limit_factor,rural_factor
1,13,0,0,Weekday,40,Daylight,Fine no high winds,Dry,Single carriageway,Urban,Merseyside,-2.84814,53.4204,A,13,40,Urban
0,9,0,0,Weekday,30,Daylight,Fine no high winds,Dry,Single carriageway,Urban,Merseyside,-2.71497,53.42077,Unclassified,9,30,Urban
0,15,0,0,Weekday,30,Daylight,Fine no high winds,Dry,Single carriageway,Urban,Merseyside,-2.97824,53.47368,Unclassified,15,30,Urban
1,17,0,1,Weekday,30,Darkness - lights lit,Fine no high winds,Wet or damp,Single carriageway,Rural,Merseyside,-3.03149,53.35776,B,17,30,Rural
0,13,0,0,Weekday,30,Daylight,Fine no high winds,Dry,Single carriageway,Urban,South Yorkshire,-1.31615,53.54283,Unclassified,13,30,Urban
1,20,0,0,Weekday,30,Darkness - lights lit,Raining no high winds,Wet or damp,Single carriageway,Urban,South Yorkshire,-1.32538,53.52041,Unclassified,20,30,Urban
1,22,0,0,Weekend,30,Darkness - lights lit,Fine no high winds,Dry,Single carriageway,Urban,South Yorkshire,-1.39396,53.5242,B,22,30,Urban
0,4,1,0,Weekend,40,Darkness - lights lit,Fine no high winds,Wet or damp,Single carriageway,Urban,South Yorkshire,-1.37934,53.40835,A,4,40,Urban
0,9,0,0,Weekday,20,Daylight,Fine no high winds,Dry,Single carriageway,Urban,Northumbria,-1.65435,55.00401,Unclassified,9,20,Urban
0,6,0,0,Weekday,30,Darkness - lighting unknown,Fine no high winds,Wet or damp,Single carriageway,Urban,Northumbria,-1.63915,54.97336,A,6,30,Urban
0,10,0,1,Weekday,30,Daylight,Fine no high winds,Dry,Single carriageway,Rural,Northumbria,-1.581,55.04731,Unclassified,10,30,Rural
0,14,0,0,Weekday,30,Daylight,Fine no high winds,Dry,Single carriageway,Urban,Northumbria,-1.50946,55.01126,Unclassified,14,30,Urban
