term,estimate,std_error_robust,t_value,p_value
police_forcePolice Scotland,0.26114912834554477,0.010678760171500117,24.455004527820517,1.0801508520599778e-131
police_forceSouth Wales,-0.010036109465940088,0.01489091445410736,-0.673975362417842,0.5003285226898668
police_forceSouth Yorkshire,0.1710711784524333,0.012649799086980251,13.523628104774213,1.233495549129222e-41
police_forceStaffordshire,0.06970509617271839,0.01325286577154236,5.259624399305008,1.4464365181400677e-7
police_forceSuffolk,0.10158948334097188,0.01516532530869554,6.698800142633419,2.112359111490239e-11
police_forceSurrey,0.10677752439536793,0.01166097230660262,9.15682857208304,5.440674615386081e-20
police_forceSussex,0.12229531924936808,0.010869255838922164,11.25148962005621,2.3708561760528646e-29
police_forceThames Valley,0.025284004092822412,0.010406946278887603,2.4295315278138454,0.01512008437574457
police_forceWarwickshire,0.08671750969185818,0.015183911572647594,5.71114427774143,1.1253340939487198e-8
police_forceWest Mercia,0.1250656122471981,0.013977343016860396,8.947738643627453,3.6879471167797137e-19
police_forceWest Midlands,0.06743358667391453,0.009692046637148151,6.957620944110171,3.481658375581621e-12
police_forceWest Yorkshire,0.13938423310206813,0.01036150822758157,13.45211817050317,3.2474405028779257e-41
police_forceWiltshire,-0.016696084416521886,0.012804477370424571,-1.3039254889923146,0.19226196578307717
